Img_pre	Mean_pre	SD_pre	Img_post	Mean_post	SD_post
He’s My Brother.jpg	107.0488	71.5373	cielab_He’s My Brother.jpg	140.3298	22.8830
High Bridge Overlook.jpg	155.1384	79.7911	cielab_High Bridge Overlook.jpg	140.3298	22.8830
High Bridge.jpg	119.9996	52.0912	cielab_High Bridge.jpg	140.3298	22.8830
Highland Park Crisp And Green.jpg	120.4771	43.8471	cielab_Highland Park Crisp And Green.jpg	140.3298	22.8830
Holman Field.jpg	113.3368	44.6552	cielab_Holman Field.jpg	140.3298	22.8830
Hoover Dam.jpg	129.3741	62.7245	cielab_Hoover Dam.jpg	140.3298	22.8830
Hope Community Church.jpg	137.5364	49.0568	cielab_Hope Community Church.jpg	140.3298	22.8830
Horace Mann Playground.jpg	142.1761	52.1993	cielab_Horace Mann Playground.jpg	140.3298	22.8830
Hubert H Humphrey Statue.jpg	121.1772	69.6163	cielab_Hubert H Humphrey Statue.jpg	140.3298	22.8830
Huntoon Park.jpg	130.5976	68.9054	cielab_Huntoon Park.jpg	140.3298	22.8830
Huss Center.jpg	177.7505	70.9673	cielab_Huss Center.jpg	140.3298	22.8830
Independence Hall.jpg	154.9180	67.5157	cielab_Independence Hall.jpg	140.3298	22.8830
Indian Mounds Park Entrance.jpg	132.0825	54.7630	cielab_Indian Mounds Park Entrance.jpg	140.3298	22.8830
Indian Mounds Park.jpg	102.5137	58.2446	cielab_Indian Mounds Park.jpg	140.3298	22.8830
Indian Mounds Regional Park.jpg	123.0487	59.2253	cielab_Indian Mounds Regional Park.jpg	140.3298	22.8830
Indiana Landmarks Center.jpg	166.7309	68.3193	cielab_Indiana Landmarks Center.jpg	140.3298	22.8830
International Christian Unity Bible College.jpg	134.8150	69.7349	cielab_International Christian Unity Bible College.jpg	140.3298	22.8830
Iron Mike Statue.jpg	139.2640	50.3335	cielab_Iron Mike Statue.jpg	140.3298	22.8830
Irvine Park Gazebo.jpg	120.5181	57.2920	cielab_Irvine Park Gazebo.jpg	140.3298	22.8830
J. V. Bailey House.jpg	127.6177	71.4180	cielab_J. V. Bailey House.jpg	140.3298	22.8830
Jack Brickhouse Statue.jpg	134.2090	56.5954	cielab_Jack Brickhouse Statue.jpg	140.3298	22.8830
James Jhill House.jpg	132.3506	60.9761	cielab_James Jhill House.jpg	140.3298	22.8830
Jazz Trio.jpg	115.1031	67.5784	cielab_Jazz Trio.jpg	140.3298	22.8830
Jimmy Lee Play Area.jpg	165.0617	62.2967	cielab_Jimmy Lee Play Area.jpg	140.3298	22.8830
Jimmy Lee Rec Center.jpg	124.8371	56.8224	cielab_Jimmy Lee Rec Center.jpg	140.3298	22.8830
John Dudley House Statue.jpg	163.0844	47.6608	cielab_John Dudley House Statue.jpg	140.3298	22.8830
John J Zampieri State Office.jpg	134.4945	71.0139	cielab_John J Zampieri State Office.jpg	140.3298	22.8830
Jones Hall Sculpture.jpg	112.5448	50.2936	cielab_Jones Hall Sculpture.jpg	140.3298	22.8830
Joslyn Castle.jpg	130.9885	66.6518	cielab_Joslyn Castle.jpg	140.3298	22.8830
Kansas City Hall.jpg	150.8975	48.1427	cielab_Kansas City Hall.jpg	140.3298	22.8830
Kauffman Center.jpg	148.2241	45.5342	cielab_Kauffman Center.jpg	140.3298	22.8830
Korean War Memorial Statue.jpg	128.0889	65.6291	cielab_Korean War Memorial Statue.jpg	140.3298	22.8830
Korean War Memorial.jpg	133.2719	64.4652	cielab_Korean War Memorial.jpg	140.3298	22.8830
Kowalskis On Grand.jpg	134.7144	67.1768	cielab_Kowalskis On Grand.jpg	140.3298	22.8830
La Salle.jpg	132.5626	65.6272	cielab_La Salle.jpg	140.3298	22.8830
Lafayette Bridge.jpg	109.7016	53.5540	cielab_Lafayette Bridge.jpg	140.3298	22.8830
Lake Calhoun.jpg	120.1952	77.8714	cielab_Lake Calhoun.jpg	140.3298	22.8830
Lake Mead.jpg	119.6513	62.1582	cielab_Lake Mead.jpg	140.3298	22.8830
Lake Of The Isles Lutheran Church.jpg	124.7621	48.8433	cielab_Lake Of The Isles Lutheran Church.jpg	140.3298	22.8830
Landmark Center.jpg	151.1841	42.6602	cielab_Landmark Center.jpg	140.3298	22.8830
Landmark Plaza.jpg	142.9485	68.0733	cielab_Landmark Plaza.jpg	140.3298	22.8830
Large Green Chair.jpg	108.2450	69.2436	cielab_Large Green Chair.jpg	140.3298	22.8830
Las Vegas Dome.jpg	156.4345	62.5863	cielab_Las Vegas Dome.jpg	140.3298	22.8830
Las Vegas Sign.jpg	138.6666	57.5243	cielab_Las Vegas Sign.jpg	140.3298	22.8830
Lego Store.jpg	102.4749	59.2168	cielab_Lego Store.jpg	140.3298	22.8830
Leif Erikson Memorial.jpg	148.5803	71.4570	cielab_Leif Erikson Memorial.jpg	140.3298	22.8830
Lewis And Clark Landing.jpg	162.3713	59.9375	cielab_Lewis And Clark Landing.jpg	140.3298	22.8830
Literati Bookstore.jpg	73.4750	57.5046	cielab_Literati Bookstore.jpg	140.3298	22.8830
Logan Park.jpg	126.7875	69.0275	cielab_Logan Park.jpg	140.3298	22.8830
Loring Bridge.jpg	136.6356	55.0488	cielab_Loring Bridge.jpg	140.3298	22.8830
Loring Greenway Enterance.jpg	120.6836	64.0520	cielab_Loring Greenway Enterance.jpg	140.3298	22.8830
Loring Park Greenway.jpg	120.5383	64.2354	cielab_Loring Park Greenway.jpg	140.3298	22.8830
Loring Park_1.jpg	132.2275	66.7609	cielab_Loring Park_1.jpg	140.3298	22.8830
Loring Park_2.jpg	144.4385	64.6963	cielab_Loring Park_2.jpg	140.3298	22.8830
Loring Park_3.jpg	104.6998	54.3139	cielab_Loring Park_3.jpg	140.3298	22.8830
Louisiana State Capitol.jpg	157.1671	41.0748	cielab_Louisiana State Capitol.jpg	140.3298	22.8830
Lowry Hill.jpg	143.3346	60.9575	cielab_Lowry Hill.jpg	140.3298	22.8830
Luter Gage Johnson Store Statue.jpg	121.1670	59.7372	cielab_Luter Gage Johnson Store Statue.jpg	140.3298	22.8830
Lyndale Park Gardens.jpg	142.8585	72.8174	cielab_Lyndale Park Gardens.jpg	140.3298	22.8830
M Flowers.jpg	117.0341	63.9413	cielab_M Flowers.jpg	140.3298	22.8830
M&Ms Store.jpg	110.7566	71.9057	cielab_M&Ms Store.jpg	140.3298	22.8830
MN DNS.jpg	126.9210	81.1772	cielab_MN DNS.jpg	140.3298	22.8830
MN Nice Cream.jpg	136.7043	50.9182	cielab_MN Nice Cream.jpg	140.3298	22.8830
Macalester College.jpg	128.1787	56.1350	cielab_Macalester College.jpg	140.3298	22.8830
Macalester Old Main.jpg	123.8611	52.8415	cielab_Macalester Old Main.jpg	140.3298	22.8830
Mackenzie.jpg	129.9249	67.0736	cielab_Mackenzie.jpg	140.3298	22.8830
Main Street Buildings.jpg	155.7042	58.0632	cielab_Main Street Buildings.jpg	140.3298	22.8830
Malcolm Yards.jpg	150.1500	57.1521	cielab_Malcolm Yards.jpg	140.3298	22.8830
Mall Of America.jpg	133.0745	55.5285	cielab_Mall Of America.jpg	140.3298	22.8830
Man Lifting Wheat Sack Statue.jpg	122.0579	76.9965	cielab_Man Lifting Wheat Sack Statue.jpg	140.3298	22.8830
Manhattan Building.jpg	103.0748	56.3892	cielab_Manhattan Building.jpg	140.3298	22.8830
Mariucci Arena.jpg	142.5458	56.9636	cielab_Mariucci Arena.jpg	140.3298	22.8830
Marjorie Mc Neely Conservatory.jpg	104.9489	75.1415	cielab_Marjorie Mc Neely Conservatory.jpg	140.3298	22.8830
Mark Twain House.jpg	114.8256	65.5003	cielab_Mark Twain House.jpg	140.3298	22.8830
Marquette Building.jpg	132.9060	73.2609	cielab_Marquette Building.jpg	140.3298	22.8830
Marquette Cancer Survivor Statue.jpg	142.0317	53.0962	cielab_Marquette Cancer Survivor Statue.jpg	140.3298	22.8830
Martin Luther King Recreation Center.jpg	138.1308	72.7127	cielab_Martin Luther King Recreation Center.jpg	140.3298	22.8830
Mary Tyler Moore.jpg	133.8944	67.0720	cielab_Mary Tyler Moore.jpg	140.3298	22.8830
Mcquillan Park.jpg	140.0754	75.7487	cielab_Mcquillan Park.jpg	140.3298	22.8830
Memorial Park.jpg	123.4427	50.8296	cielab_Memorial Park.jpg	140.3298	22.8830
Merchants National Bank Building.jpg	106.7095	73.7159	cielab_Merchants National Bank Building.jpg	140.3298	22.8830
Merchants National Bank Plaque.jpg	97.9070	40.5837	cielab_Merchants National Bank Plaque.jpg	140.3298	22.8830
Midtown Market.jpg	159.4446	47.2353	cielab_Midtown Market.jpg	140.3298	22.8830
Minneapolis Central Library Statue.jpg	140.1354	54.3007	cielab_Minneapolis Central Library Statue.jpg	140.3298	22.8830
Minneapolis Central Library.jpg	125.4605	58.0532	cielab_Minneapolis Central Library.jpg	140.3298	22.8830
Minneapolis College.jpg	99.3092	78.9877	cielab_Minneapolis College.jpg	140.3298	22.8830
Minneapolis Convention Center Sign.jpg	114.9786	60.3940	cielab_Minneapolis Convention Center Sign.jpg	140.3298	22.8830
Minneapolis Convention Center.jpg	135.5954	52.7267	cielab_Minneapolis Convention Center.jpg	140.3298	22.8830
Minneapolis Courthouse.jpg	157.7010	60.8762	cielab_Minneapolis Courthouse.jpg	140.3298	22.8830
Minneapolis Institue Of Art.jpg	148.7450	65.8808	cielab_Minneapolis Institue Of Art.jpg	140.3298	22.8830
Minnehaha Falls.jpg	125.7245	66.4248	cielab_Minnehaha Falls.jpg	140.3298	22.8830
Minnesota History Center.jpg	146.1954	41.7244	cielab_Minnesota History Center.jpg	140.3298	22.8830
Minnesota House Of Representatives.jpg	96.9472	74.4298	cielab_Minnesota House Of Representatives.jpg	140.3298	22.8830
Minnesota State Office.jpg	122.9571	72.0395	cielab_Minnesota State Office.jpg	140.3298	22.8830
Molecula Statue.jpg	107.3520	67.6182	cielab_Molecula Statue.jpg	140.3298	22.8830
Moos Tower.jpg	137.4382	58.6630	cielab_Moos Tower.jpg	140.3298	22.8830
Morrill Hall.jpg	120.5987	69.7770	cielab_Morrill Hall.jpg	140.3298	22.8830
Moscow On The Hill.jpg	147.9254	69.7368	cielab_Moscow On The Hill.jpg	140.3298	22.8830
Mt Rushmore.jpg	154.6898	57.0513	cielab_Mt Rushmore.jpg	140.3298	22.8830
Music Education Building.jpg	107.3022	64.1159	cielab_Music Education Building.jpg	140.3298	22.8830
Music Mural.jpg	166.0754	54.2458	cielab_Music Mural.jpg	140.3298	22.8830
Nathan Hale Statue.jpg	121.1420	65.1100	cielab_Nathan Hale Statue.jpg	140.3298	22.8830
News Room.jpg	153.7709	57.2422	cielab_News Room.jpg	140.3298	22.8830
Nickolodeon Universe.jpg	112.2081	62.8172	cielab_Nickolodeon Universe.jpg	140.3298	22.8830
Nicollet Caribou.jpg	122.5985	73.9753	cielab_Nicollet Caribou.jpg	140.3298	22.8830
Nicollet Globe1.jpg	109.3647	68.8777	cielab_Nicollet Globe1.jpg	140.3298	22.8830
Nicollet Island Inn.jpg	142.4635	67.7613	cielab_Nicollet Island Inn.jpg	140.3298	22.8830
Nicollet Skyway.jpg	149.0050	54.2796	cielab_Nicollet Skyway.jpg	140.3298	22.8830
Nicollet Station.jpg	117.7662	75.2959	cielab_Nicollet Station.jpg	140.3298	22.8830
Nina’s Coffee.jpg	103.4312	69.0443	cielab_Nina’s Coffee.jpg	140.3298	22.8830
Norman Borlaug Statue.jpg	102.5215	76.7739	cielab_Norman Borlaug Statue.jpg	140.3298	22.8830
North Pole Express.jpg	169.5532	59.8738	cielab_North Pole Express.jpg	140.3298	22.8830
Northrop Auditorium.jpg	164.6632	54.0120	cielab_Northrop Auditorium.jpg	140.3298	22.8830
Northwestern Casket Company.jpg	151.2518	72.5223	cielab_Northwestern Casket Company.jpg	140.3298	22.8830
